rel_path,ext,size_MB
audio/audio_0.wav,.wav,12.872
audio/audio_1.wav,.wav,13.013
audio/audio_2.wav,.wav,13.621
audio/audio_meta_0.json,.json,0.0
audio/audio_meta_1.json,.json,0.0
audio/audio_meta_2.json,.json,0.0
camera_fixed/pointcloud_start_0.pcd,.pcd,13.781
camera_fixed/pointcloud_start_1.pcd,.pcd,13.807
camera_fixed/pointcloud_start_2.pcd,.pcd,13.803
camera_fixed/pointcloud_stop_0.pcd,.pcd,13.687
camera_fixed/pointcloud_stop_1.pcd,.pcd,13.77
camera_fixed/pointcloud_stop_2.pcd,.pcd,13.638
camera_fixed/rescan_1779998231.696025.pcd,.pcd,13.571
camera_fixed/rescan_1779998565.958723.pcd,.pcd,13.904
camera_fixed/rescan_1779998576.379348.pcd,.pcd,13.92
camera_fixed/rescan_1779998856.621960.pcd,.pcd,13.509
camera_fixed/rgb.avi,.avi,268.472
camera_fixed/rgb_1.avi,.avi,269.212
camera_fixed/rgb_2.avi,.avi,287.617
camera_in_hand/pointcloud_start_0.pcd,.pcd,14.187
camera_in_hand/pointcloud_start_1.pcd,.pcd,14.212
camera_in_hand/pointcloud_start_2.pcd,.pcd,14.171
camera_in_hand/pointcloud_stop_0.pcd,.pcd,14.246
camera_in_hand/pointcloud_stop_1.pcd,.pcd,14.216
camera_in_hand/pointcloud_stop_2.pcd,.pcd,14.237
camera_in_hand/rescan_1779998231.696025.pcd,.pcd,14.16
camera_in_hand/rescan_1779998565.958723.pcd,.pcd,14.05
camera_in_hand/rescan_1779998576.379348.pcd,.pcd,14.181
camera_in_hand/rescan_1779998856.621960.pcd,.pcd,14.103
camera_in_hand/rgb.avi,.avi,302.851
camera_in_hand/rgb_1.avi,.avi,319.495
camera_in_hand/rgb_2.avi,.avi,347.557
config/bringup/cameras.yaml,.yaml,0.001
config/bringup/microphone.yaml,.yaml,0.0
config/bringup/motion.yaml,.yaml,0.0
config/bringup/raster.yaml,.yaml,0.0
config/bringup/recording_topics.yaml,.yaml,0.0
config/bringup/robot.yaml,.yaml,0.0
config/description/sonopet_tcp_offsets.yaml,.yaml,0.0
info.txt,.txt,0.0
manifest_0.json,.json,0.002
manifest_1.json,.json,0.002
manifest_2.json,.json,0.002
sonopet/SonopetCase_2026_05_28_T_15_58_32_2917975489.json,.json,134.17
sonopet/SonopetCase_2026_05_28_T_15_58_32_2917975489_device_connections.csv,.csv,0.0
sonopet/SonopetCase_2026_05_28_T_15_58_32_2917975489_device_errors.csv,.csv,0.0
sonopet/SonopetCase_2026_05_28_T_15_58_32_2917975489_generic_info.csv,.csv,0.0
sonopet/SonopetCase_2026_05_28_T_15_58_32_2917975489_runtime_data.csv,.csv,55.511
sonopet/plots/sonopet_drive_telemetry_pork.png,.png,0.137
sonopet/plots/sonopet_electrical_telemetry.png,.png,0.188
sonopet/plots/sonopet_normalized_overlay.png,.png,0.187
sonopet/plots/sonopet_pressure_frequency_tracking.png,.png,0.196
sonopet/plots/sonopet_pressure_irrigation.png,.png,0.133
