run,cloud,n_clean,n_invalid,n_zgate,n_sor,z_med_m
run_1,in_hand_start,275819,42853,78725,9643,0.156
run_1,in_hand_stop,272009,40948,85327,8756,0.156
run_2,in_hand_start,275892,42970,78155,10023,0.153
run_2,in_hand_stop,267020,40671,90338,9011,0.16
run_3,in_hand_start,272463,43644,80985,9948,0.153
run_3,in_hand_stop,273463,41512,81947,10118,0.148
rescan@1779998232,in_hand_rescan,319225,44584,32565,10666,0.157
rescan@1779998566,in_hand_rescan,318107,47995,30660,10278,0.154
rescan@1779998576,in_hand_rescan,319560,43976,31079,12425,0.154
rescan@1779998857,in_hand_rescan,317760,47062,30377,11841,0.151
