rel_path,ext,size_MB
audio/audio_0.wav,.wav,8.393
audio/audio_1.wav,.wav,5.894
audio/audio_2.wav,.wav,8.299
audio/audio_meta_0.json,.json,0.0
audio/audio_meta_1.json,.json,0.0
audio/audio_meta_2.json,.json,0.0
camera_fixed/pointcloud_start_0.pcd,.pcd,9.711
camera_fixed/pointcloud_start_1.pcd,.pcd,9.742
camera_fixed/pointcloud_start_2.pcd,.pcd,9.737
camera_fixed/pointcloud_stop_0.pcd,.pcd,9.205
camera_fixed/pointcloud_stop_1.pcd,.pcd,9.341
camera_fixed/pointcloud_stop_2.pcd,.pcd,9.71
camera_fixed/rgb.avi,.avi,190.474
camera_fixed/rgb_1.avi,.avi,144.325
camera_fixed/rgb_2.avi,.avi,183.569
camera_in_hand/pointcloud_start_0.pcd,.pcd,16.742
camera_in_hand/pointcloud_start_1.pcd,.pcd,16.739
camera_in_hand/pointcloud_start_2.pcd,.pcd,16.735
camera_in_hand/pointcloud_stop_0.pcd,.pcd,16.725
camera_in_hand/pointcloud_stop_1.pcd,.pcd,16.684
camera_in_hand/pointcloud_stop_2.pcd,.pcd,16.716
camera_in_hand/rgb.avi,.avi,214.824
camera_in_hand/rgb_1.avi,.avi,163.914
camera_in_hand/rgb_2.avi,.avi,212.772
config/bringup/cameras.yaml,.yaml,0.001
config/bringup/microphone.yaml,.yaml,0.0
config/bringup/motion.yaml,.yaml,0.0
config/bringup/pointcloud.yaml,.yaml,0.0
config/bringup/raster.yaml,.yaml,0.0
config/bringup/recording_topics.yaml,.yaml,0.0
config/bringup/robot.yaml,.yaml,0.0
config/description/sonopet_tcp_offsets.yaml,.yaml,0.0
info.txt,.txt,0.0
manifest_0.json,.json,0.002
manifest_1.json,.json,0.002
manifest_2.json,.json,0.002
pointcloud_meta.json,.json,0.003
sonopet/SonopetCase_2026_06_01_T_15_54_11_1550844784.json,.json,33.449
sonopet/SonopetCase_2026_06_01_T_15_59_06_6239396086.json,.json,32.996
sonopet/SonopetCase_2026_06_01_T_16_04_17_7137039858.json,.json,33.066
sonopet/sonopet_meta.json,.json,0.001
